relative_path,primary_category,secondary_tags,source_batch,image_id,scene_description,expected_depth_behavior,report_use,privacy_note
data/own_photos/indoor/indoor_01_ceiling_lights.jpg,indoor,"complex ceiling, lights, pipes",batch1,1,"Indoor ceiling with hanging lights and pipes","Nearby lamps and pipes should be predicted closer than the back wall and ceiling structures",optional,"none"
data/own_photos/glass_window/glass_01_handheld_clear_cup.jpg,glass_window,"transparent object, very close object, plain wall",batch1,2,"Hand holding a transparent glass in front of a plain wall","The hand and glass should be closer than the wall; the transparent glass may be ambiguous",include,"hand visible"
data/own_photos/glass_window/glass_02_table_cup_chair.jpg,glass_window,"transparent object, indoor",batch1,3,"Transparent glass on a table with chair and wall behind it","The glass and table should be closer than the chair and wall; transparent boundaries may be weak",include,"none"
data/own_photos/plain_wall/plain_wall_01_wall_corner.jpg,plain_wall,"textureless surface",batch1,4,"Mostly plain wall and corner with minimal texture","Depth may be over-smoothed because the wall has few visual cues",include,"none"
data/own_photos/plain_wall/plain_wall_02_study_room_wall.jpg,plain_wall,"textureless surface, indoor",batch1,5,"Large plain wall with visible side room and study area","The near wall should be separated from the deeper side room; textureless regions may be uncertain",include,"person partially visible"
data/own_photos/indoor/indoor_02_kitchen_wide.jpg,indoor,"kitchen, shiny metal, complex scene",batch1,6,"Wide indoor kitchen scene with counters, lamps, and background tables","Foreground counter should be closer than background tables and walls",include,"people in background"
data/own_photos/shiny_metal/shiny_metal_01_kitchen_counter.jpg,shiny_metal,"reflective metal, indoor, glass",batch1,7,"Kitchen counter with reflective metal surface and glass in foreground","Reflective counter may confuse depth cues; foreground glass should be closer than background",include,"people in background"
data/own_photos/very_close_object/very_close_01_glass_on_metal_table.jpg,very_close_object,"glass, shiny metal, indoor",batch1,8,"Close transparent glass on reflective metal table with distant background","The close glass should dominate the near-depth prediction; transparency and reflection may cause errors",include,"person in background"
data/own_photos/shiny_metal/shiny_metal_02_reflective_counter_cup.jpg,shiny_metal,"reflective metal, glass, indoor",batch1,9,"Reflective metal table with small glass and kitchen background","Reflections may create false depth cues; small glass should be near",include,"none"
data/own_photos/outdoor/outdoor_01_street_buildings.jpg,outdoor,"street, buildings, trees",batch1,10,"Outdoor street scene with cars, trees, sidewalk, and buildings","Nearby trees and cars should be closer than distant buildings and sidewalk end",include,"license plates visible; consider blur"
data/own_photos/mirror/mirror_01_bathroom_selfie.jpg,mirror,"reflection, indoor, person",batch2,1,"Bathroom mirror selfie with tiled background","The physical mirror plane is close, but reflected person and background may be interpreted as real 3D space",include,"face visible; consider blur"
data/own_photos/very_close_object/very_close_02_hand_object_car_window.jpg,very_close_object,"hand, car window, outdoor background",batch2,2,"Very close hand-held object inside car with distant outdoor scene","The hand and object should be much closer than the road, building, and sky outside",include,"hand visible"
data/own_photos/outdoor/outdoor_02_cafe_drinks_street.jpg,outdoor,"close objects, shallow depth, street",batch2,3,"Cafe drinks in foreground with outdoor street and buildings behind","Foreground drinks should be closer than street and buildings; blurred background may reduce depth detail",include,"none"
data/own_photos/glass_window/glass_03_balcony_glass_city.jpg,glass_window,"transparent barrier, outdoor, person",batch2,4,"Person in front of transparent glass balcony with distant city view","Person and balcony structure should be closer than city background; glass plane may be ambiguous",include,"face visible; consider blur"
data/own_photos/glass_window/glass_04_window_cup_vase.jpg,glass_window,"window, reflective vase, close object",batch2,5,"Cup and reflective vase near a window with blurred street background","Foreground cup and vase should be closer than outside scene; window and reflections may confuse prediction",include,"reflection on vase"

